fat	sugars	rating
1	6	68.402973
5	8	33.983679
1	5	59.425505
0	0	93.704912
2	8	34.384843
2	10	29.509541
0	14	33.174094
2	8	37.038562
1	6	49.120253
0	5	53.313813
2	12	18.042851
2	1	50.764999
3	9	19.823573
2	7	40.400208
1	13	22.736446
0	3	41.445019
0	2	45.863324
0	12	35.782791
1	13	22.396513
3	7	40.448772
0	0	64.533816
0	3	46.895644
1	10	36.176196
0	5	44.330856
1	13	32.207582
0	11	31.435973
0	7	58.345141
2	10	40.917047
0	12	41.015492
1	12	28.025765
0	15	35.252444
1	9	23.804043
1	5	52.076897
0	3	53.371007
3	4	45.811716
2	11	21.871292
1	10	31.072217
0	11	28.742414
1	6	36.523683
1	9	36.471512
1	3	39.241114
2	6	45.328074
1	12	26.734515
1	3	54.850917
3	11	37.136863
3	11	34.139765
2	13	30.313351
1	6	40.105965
1	9	29.924285
2	7	40.69232
0	2	59.642837
2	10	30.450843
1	14	37.840594
0	3	41.50354
0	0	60.756112
0	0	63.005645
1	6	49.511874
2	-1	50.828392
1	12	39.259197
2	8	39.7034
0	6	55.333142
0	2	41.998933
0	3	40.560159
0	0	68.235885
0	0	74.472949
0	0	72.801787
1	15	31.230054
0	3	53.131324
0	5	59.363993
1	3	38.839746
1	14	28.592785
1	3	46.658844
1	3	39.106174
1	12	27.753301
1	3	49.787445
1	3	51.592193
1	8	36.187559
